origin,horizon_months,actual,flow,persistence,ar1,ar4,lo50,hi50,cover50,score50,lo80,hi80,cover80,score80,lo90,hi90,cover90,score90
2016-08-01,12,1.5596822066068714,1.995046588276586,0.884289079769595,1.2824566169441687,1.5962725134424618,0.8449555398402078,1.7736203760155047,True,0.9286648361752969,0.21755469062146005,2.4110024497350815,True,2.1934477591136217,0.06246082924820229,2.6290532148155323,True,2.56659238556733
2016-09-01,1,1.416917438172578,1.4159516372765266,1.2123956136639338,1.2406167903270697,1.3845633818364198,1.2932449425368753,1.4588436079120208,True,0.16559866537514556,1.2049707096281148,1.5595939478846426,True,0.35462323825652775,1.167510447278424,1.61418533029658,True,0.44667488301815617
2016-09-01,3,1.6435770712886402,1.732328051772561,1.2123956136639338,1.292530156034081,1.5285645343454064,1.358700678778577,1.7949150423812312,True,0.4362143636026543,1.1762473616942066,2.022939020407753,True,0.8466916587135462,1.0544817722508688,2.0944814268629566,True,1.0399996546120878
2016-09-01,6,1.8884176442994696,2.0932983938966174,1.2123956136639338,1.3602673458253605,1.623398889208683,1.4910301313710113,2.057714105259316,True,0.5666839738883049,1.1085286580034646,2.4228320575848636,True,1.314303399581399,0.8577700639643095,2.5423642533482265,True,1.684594189383917
2016-09-01,12,1.742179838126192,1.9819185297230262,1.2123956136639338,1.4659247625648513,1.7290583600101574,0.8337100469872403,1.7453597711546311,True,0.9116497241673909,0.20702671270830764,2.3963036636110515,True,2.1892769509027437,0.050358558297738165,2.6079346390839326,True,2.5575760807861947
2016-10-01,1,1.3877304137766024,1.4626068316529337,1.416917438172578,1.4347889116633246,1.5190485372339637,1.340354189572282,1.5050326385175525,True,0.16467844894527062,1.2540666822849817,1.6047145892740613,True,0.35064790698907955,1.2148703910547076,1.6597821677768527,True,0.4449117767221451
2016-10-01,3,1.9853709032398594,1.8624809248353296,1.416917438172578,1.4676407993036646,1.6084557397081538,1.4896822213635736,1.921730452092872,False,0.6866100353172482,1.3073083547453384,2.151291846349416,True,0.8439834916040776,1.1865778308595074,2.2200839533599366,True,1.0335061225004292
2016-10-01,6,1.7520350243468807,1.896779743749411,1.416917438172578,1.51045634459995,1.6773880819652904,1.2979011002451104,1.8562503565845323,True,0.5583492563394219,0.9177658902498685,2.223090256696064,True,1.3053243664461953,0.6618305878887203,2.3372722065823073,True,1.675441618693587
2016-10-01,12,1.6680510525820782,1.9127029228335248,1.416917438172578,1.577103128885837,1.7564761834304918,0.7663770057983312,1.6729642312366906,True,0.9065872254383593,0.14041118645921347,2.3255173291510802,True,2.1851061426918665,-0.017831260988667497,2.530728515016392,True,2.5485597760050593
2016-11-01,1,1.6435770712886402,1.6249748652633988,1.3877304137766024,1.407008943356567,1.3960287324598588,1.5051574843668938,1.6670704426609606,True,0.16191295829406682,1.4186932498026228,1.7655021565100255,True,0.3468089067074027,1.3774772932902117,1.8216812529692823,True,0.44420395967907056
2016-11-01,3,2.173347618777037,2.0116153339603984,1.3877304137766024,1.4424520073175053,1.4643798352084862,1.6467144116479082,2.0808772512713247,False,0.804044309646265,1.4583926314850073,2.2924944966675764,True,0.8341018651825691,1.3370717491861046,2.3675597165740383,True,1.0304879673879337
2016-11-01,6,1.5457633326932012,1.7459058901574374,1.3877304137766024,1.4886547812862874,1.5699445652091961,1.1479960652161803,1.7031394671008442,True,0.5551434018846639,0.7779701609160264,2.068560381821517,True,1.2905902209054902,0.5122232120765084,2.183099110332046,True,1.6708758982555376
2016-11-01,12,1.7778156936511498,1.9191468621812342,1.3877304137766024,1.5606021087543542,1.699108957218515,0.7752675053655822,1.678179875920747,False,1.3014556414767762,0.1489383768244299,2.3283001922590767,True,2.179361815434647,-0.008572895275685166,2.5301616740148667,True,2.538734569290552
2016-12-01,1,1.9853709032398594,1.772015991250274,1.6435770712886402,1.6497047298509888,1.7599328182422667,1.6546338715379156,1.8137813391807789,False,0.8455057238791854,1.5679929096966736,1.9109628161223993,False,1.0870507776003273,1.524757287902126,1.9682534305381216,False,0.7858455966707516
2016-12-01,3,1.8884176442994696,1.99900757418927,1.6435770712886402,1.6609623807762572,1.8237357792736542,1.6420044330360457,2.0749286059714214,True,0.43292417293537566,1.4477347393284794,2.271954978089539,True,0.8242202387610598,1.3258234986165045,2.353293310891943,True,1.0274698122754387
2016-12-01,6,1.4549125591740624,1.737496373431389,1.6435770712886402,1.6756204808074728,1.8330638997950628,1.1405553670531756,1.6924929144830814,True,0.5519375474299058,0.7806387684481096,2.056494843812894,True,1.2758560753647843,0.5050801731302221,2.171390350947709,True,1.6663101778174867
2016-12-01,12,1.750990246521117,1.9475882765950727,1.6435770712886402,1.6983991962800669,1.8356858541208938,0.8061554799989623,1.7321383709734288,False,1.0013903931652188,0.1794630422557757,2.3530805304332016,True,2.1736174881774257,0.02268294550342631,2.551592308079469,True,2.5289093625760426
