origin,horizon,actual,persistence,ar1,ar4,core
2020-10-01,3,1.5733552810323885,1.1804908741609368,1.2130525763059457,1.1745964965611038,0.9782127382510237
2020-10-01,6,3.57559276125739,1.1804908741609368,1.2450453717653767,1.2525700070263839,2.016441186936782
2020-10-01,12,5.198634287306786,1.1804908741609368,1.3073638279193829,1.4079903404663308,1.804783168612536
2020-11-01,1,1.325695824486493,1.1792837426083884,1.1901798830806507,1.1902181592770573,1.0142833459503136
2020-11-01,3,1.825959303398635,1.1792837426083884,1.2117812431085253,1.2386392087265592,0.916200141027867
2020-11-01,6,3.991723484546538,1.1792837426083884,1.2437115454859318,1.3184100348794228,2.042402445265932
2020-11-01,12,5.76101117250708,1.1792837426083884,1.3059099816672035,1.4689145717645047,1.7360665142073515
2020-12-01,1,1.5733552810323885,1.325695824486493,1.3360449058106574,1.4055137161976194,1.3795853604028023
2020-12-01,3,2.634010081281457,1.325695824486493,1.3565596315576016,1.4910064287525346,1.9082452232377656
2020-12-01,6,4.215993096276831,1.325695824486493,1.3868785362588125,1.5665697049933134,2.649049716399352
2020-12-01,12,5.960734387404415,1.325695824486493,1.4459199498412798,1.6991082912551592,2.636527267832873
2021-01-01,1,1.825959303398635,1.5733552810323885,1.582736118574454,1.6956782075745398,1.7428262693967655
2021-01-01,3,3.57559276125739,1.5733552810323885,1.6013284371810892,1.7980607644188058,2.930843491657866
2021-01-01,6,4.376054791451672,1.5733552810323885,1.6287986094482971,1.864442450648983,3.0453088882295463
2021-01-01,12,6.083573846637115,1.5733552810323885,1.6822660162254195,1.9748125191102501,3.158542600664194
2021-02-01,1,2.634010081281457,1.825959303398635,1.8342776084097703,1.9470870192293566,2.367277735718929
2021-02-01,3,3.991723484546538,1.825959303398635,1.8507616281550716,2.040860162757257,3.269011302381801
2021-02-01,6,4.4790841316208185,1.825959303398635,1.8751108377359151,2.0972414044057293,3.2056410117080008
2021-02-01,12,6.340231251667356,1.825959303398635,1.9224828720942522,2.189972936282656,3.3984049897258717
2021-03-01,1,3.57559276125739,2.634010081281457,2.638605010991087,2.9882260450319915,3.4748107594390625
2021-03-01,3,4.215993096276831,2.634010081281457,2.6477069026189275,3.2172785316962793,3.7498275725999153
2021-03-01,6,4.628634893600741,2.634010081281457,2.661142621443833,3.2498301522714192,3.9496446347393626
2021-03-01,12,6.697066392432129,2.634010081281457,2.68725056626117,3.25203382749314,4.183131168039976
2021-04-01,1,3.991723484546538,3.57559276125739,3.575388822852184,4.000247307230936,3.885100347765364
2021-04-01,3,4.376054791451672,3.57559276125739,3.57498492473006,4.245481105078074,3.9726490980476
2021-04-01,6,5.198634287306786,3.57559276125739,3.574388895179467,4.243627651753685,4.457098783346429
2021-04-01,12,6.47080880570976,3.57559276125739,3.5732313440806025,4.161378342198774,4.372417968357899
2021-05-01,1,4.215993096276831,3.991723484546538,3.9894110476015485,4.17112865812778,4.083956689416741
2021-05-01,3,4.4790841316208185,3.991723484546538,3.984830977271875,4.24474007113934,4.2111939636118825
2021-05-01,6,5.76101117250708,3.991723484546538,3.9780714370107453,4.215691836501351,5.005492334224026
2021-05-01,12,6.573667064538174,3.991723484546538,3.9649410464657704,4.134884534953963,4.603974632017871
2021-06-01,1,4.376054791451672,4.215993096276831,4.212587971541887,4.296376911683246,4.354581028576776
2021-06-01,3,4.628634893600741,4.215993096276831,4.205843205703548,4.317875145847123,4.646587286071355
2021-06-01,6,5.960734387404415,4.215993096276831,4.1958876716643,4.278933365962423,5.315740720845602
2021-06-01,12,6.993150157266438,4.215993096276831,4.17654485780456,4.192372151357266,4.930907119865471
2021-07-01,1,4.4790841316208185,4.376054791451672,4.371896808598163,4.434291991759559,4.4728724250810075
2021-07-01,3,5.198634287306786,4.376054791451672,4.3636602579160595,4.444386804091119,5.010879156986495
2021-07-01,6,6.083573846637115,4.376054791451672,4.351501446857452,4.39958425177132,5.36354451380477
2021-07-01,12,6.532135241337345,4.376054791451672,4.327873145304109,4.302535928870675,4.940856640906188
2021-08-01,1,4.628634893600741,4.4790841316208185,4.47445780109402,4.513699736876322,4.693259206366105
2021-08-01,3,5.76101117250708,4.4790841316208185,4.465293042119785,4.5081084047754825,5.358129266544026
2021-08-01,6,6.340231251667356,4.4790841316208185,4.45176288111565,4.4584807776468445,5.479607102210397
2021-08-01,12,6.428546652772016,4.4790841316208185,4.425465690851839,4.356428446781235,4.9763591025866685
2021-09-01,1,5.198634287306786,4.628634893600741,4.623343759284876,4.682815505219985,4.925224862533206
2021-09-01,3,5.960734387404415,4.628634893600741,4.612861208562666,4.68893599312168,5.2539142571534185
2021-09-01,6,6.697066392432129,4.628634893600741,4.5973835516405215,4.634694163105064,5.229702820105732
2021-09-01,12,6.455044919773634,4.628634893600741,4.56729420391608,4.518119450556578,4.798787354774969
2021-10-01,1,5.76101117250708,5.198634287306786,5.190967866815539,5.437438823103855,5.653292373423117
2021-10-01,3,6.083573846637115,5.198634287306786,5.175774609543897,5.5549056991445145,5.761970150574825
2021-10-01,6,6.47080880570976,5.198634287306786,5.153329455785506,5.4892872826968695,5.782054985226032
2021-10-01,12,6.261419287937881,5.198634287306786,5.109652789644481,5.304174983762383,5.5742495893148085
2021-11-01,1,5.960734387404415,5.76101117250708,5.7514559985977085,6.001513207379637,5.889475195117628
2021-11-01,3,6.340231251667356,5.76101117250708,5.73251124721511,6.100580843458215,6.108375825764025
2021-11-01,6,6.573667064538174,5.76101117250708,5.7045033373198075,6.012471755133792,5.990316154562924
2021-11-01,12,5.855653914611847,5.76101117250708,5.649929734247731,5.786313373854596,5.75208773299381
2021-12-01,1,6.083573846637115,5.960734387404415,5.950688074744324,6.0297118698071825,6.055114895221682
2021-12-01,3,6.697066392432129,5.960734387404415,5.930765444462533,6.010700654304602,6.202592101356714
2021-12-01,6,6.993150157266438,5.960734387404415,5.901301701473916,5.904037354644475,6.075909610939818
2021-12-01,12,5.373080221564972,5.960734387404415,5.843855893389436,5.685460575268823,5.846398366962189
2022-01-01,1,6.340231251667356,6.083573846637115,6.073284254387177,6.110998397865253,6.274689554920062
2022-01-01,3,6.47080880570976,6.083573846637115,6.052876310168534,6.071332857064692,6.2261792974413765
2022-01-01,6,6.532135241337345,6.083573846637115,6.022687753673649,5.959467729383386,6.16534005618557
2022-01-01,12,5.361407785430002,6.083573846637115,5.9638039639952,5.7368279877827755,5.861422768929256
2022-02-01,1,6.697066392432129,6.340231251667356,6.329491917681491,6.430926578896127,6.349908839848088
2022-02-01,3,6.573667064538174,6.340231251667356,6.3081857109484964,6.4323365998312605,6.334356236362464
2022-02-01,6,6.428546652772016,6.340231251667356,6.276652946309061,6.317690868751205,6.434423042740884
2022-02-01,12,5.067223809147062,6.340231251667356,6.215093055858655,6.069479283336928,5.98160265090734
2022-03-01,1,6.47080880570976,6.697066392432129,6.685931848580708,6.834497867126634,6.858877076283398
2022-03-01,3,6.993150157266438,6.697066392432129,6.663831874321766,6.86020531908668,6.939202874535142
2022-03-01,6,6.455044919773634,6.697066392432129,6.631100422896887,6.738371921509347,7.508700518467147
2022-03-01,12,4.3330268475854385,6.697066392432129,6.56711637594224,6.462755781350231,6.936135263493117
2022-04-01,1,6.573667064538174,6.47080880570976,6.4599123553286235,6.347507471409232,6.3621925175135265
2022-04-01,3,6.532135241337345,6.47080880570976,6.438291103045401,6.198196399674874,6.304902340352846
2022-04-01,6,6.261419287937881,6.47080880570976,6.4062838471674475,6.061015696604712,6.47195465821554
2022-04-01,12,4.37873180186045,6.47080880570976,6.343768750587733,5.829776596767412,5.638201903935479
2022-05-01,1,6.993150157266438,6.573667064538174,6.562696991635197,6.585343250946897,6.578417015130867
2022-05-01,3,6.428546652772016,6.573667064538174,6.540926602481991,6.537010875396811,6.810250998072694
2022-05-01,6,5.855653914611847,6.573667064538174,6.508691039744792,6.41067598673584,6.7921972453498025
2022-05-01,12,3.925400542614785,6.573667064538174,6.445703587556779,6.157660808617165,6.282708877596534
2022-06-01,1,6.532135241337345,6.993150157266438,6.981962828812849,7.156659136536505,7.2819146840385915
2022-06-01,3,6.455044919773634,6.993150157266438,6.959749194793122,7.19903275836404,7.851049366408658
2022-06-01,6,5.373080221564972,6.993150157266438,6.926827444404954,7.075135872640741,7.742397257723583
2022-06-01,12,3.231733708559348,6.993150157266438,6.86239417701723,6.782632813748216,7.437557115115001
2022-07-01,1,6.428546652772016,6.532135241337345,6.5211528280039825,6.308552052109913,6.422246008793335
2022-07-01,3,6.261419287937881,6.532135241337345,6.499359952669448,6.095722735662533,6.407862038367972
2022-07-01,6,5.361407785430002,6.532135241337345,6.4670960387477185,5.943925060572415,5.973704773714363
2022-07-01,12,3.3522220936896265,6.532135241337345,6.404070544837857,5.717554582807285,5.119836970159417
2022-08-01,1,6.455044919773634,6.428546652772016,6.417736585421517,6.34940998201857,6.595951665646198
2022-08-01,3,5.855653914611847,6.428546652772016,6.396288164098898,6.240441866732563,6.1978739037942345
2022-08-01,6,5.067223809147062,6.428546652772016,6.364540277598587,6.1093406227323275,5.833639779314059
2022-08-01,12,3.374478528151472,6.428546652772016,6.302544110859997,5.874860527966373,5.2935062897348315
2022-09-01,1,6.261419287937881,6.455044919773634,6.444240188821026,6.441621187221081,6.213795353285365
2022-09-01,3,5.373080221564972,6.455044919773634,6.4228013993047774,6.37440473934921,5.832879547438915
2022-09-01,6,4.3330268475854385,6.455044919773634,6.39106541063686,6.249803590556444,5.058560936766978
2022-09-01,12,3.390751565240984,6.455044919773634,6.3290841990677755,6.007611313371824,4.832940182042415
2022-10-01,1,5.855653914611847,6.261419287937881,6.25094811158655,6.153213644433412,6.033221667611668
2022-10-01,3,5.361407785430002,6.261419287937881,6.230175722711688,6.024735798762655,5.7910314522768624
2022-10-01,6,4.37873180186045,6.261419287937881,6.199437459295789,5.895066422381172,5.277823847702772
2022-10-01,12,2.978461878685477,6.261419287937881,6.139444281103668,5.675343394702063,4.92943820195392
2022-11-01,1,5.373080221564972,5.855653914611847,5.846077345080225,5.653395162796864,5.654525338478748
2022-11-01,3,5.067223809147062,5.855653914611847,5.827088097355056,5.468106310575559,5.294560710550696
2022-11-01,6,3.925400542614785,5.855653914611847,5.799009288340153,5.341284308652571,4.653418638016545
2022-11-01,12,2.727551790588455,5.855653914611847,5.744279625281456,5.16101930074122,4.397844401773919
2022-12-01,1,5.361407785430002,5.373080221564972,5.3649764531640365,5.1363727586856776,5.085810329857595
2022-12-01,3,4.3330268475854385,5.373080221564972,5.348914994938979,4.935657074306699,4.2791650198714075
2022-12-01,6,3.231733708559348,5.373080221564972,5.325183624151732,4.822910969554488,3.290335763764495
2022-12-01,12,2.729669070936404,5.373080221564972,5.27899143262688,4.683613176589501,3.549037574928409
2023-01-01,1,5.067223809147062,5.361407785430002,5.353365548100886,5.33327628541756,5.224833225863565
2023-01-01,3,4.37873180186045,5.361407785430002,5.337426087980689,5.274451426689859,4.823639791385504
2023-01-01,6,3.3522220936896265,5.361407785430002,5.313875084806439,5.186955200951401,4.253206965839816
2023-01-01,12,2.6629773612156957,5.361407785430002,5.268034360342887,5.023617947076169,4.3449228489472675
2023-02-01,1,4.3330268475854385,5.067223809147062,5.06029948027686,4.922077903714205,4.50990601064375
2023-02-01,3,3.925400542614785,5.067223809147062,5.0465787697515285,4.788766986851681,4.302701761242545
2023-02-01,6,3.374478528151472,5.067223809147062,5.026313639766481,4.698280218159594,3.9717054895236767
2023-02-01,12,2.669117439772207,5.067223809147062,4.986895272350118,4.571890262709735,3.808683951164081
2023-03-01,1,4.37873180186045,4.3330268475854385,4.329311754107385,3.994759045528758,4.306978568498958
2023-03-01,3,3.231733708559348,4.3330268475854385,4.321953841135332,3.7397616688746744,3.2541818008254118
2023-03-01,6,3.390751565240984,4.3330268475854385,4.3110953183256715,3.649329120426737,3.507635428117038
2023-03-01,12,2.8858938294017724,4.3330268475854385,4.29000518594677,3.6089707836146925,3.3180107680706517
2023-04-01,1,3.925400542614785,4.37873180186045,4.374800197499661,4.37914602345268,4.114339454871888
2023-04-01,3,3.3522220936896265,4.37873180186045,4.36701331808249,4.348269120327439,3.6803970337494434
2023-04-01,6,2.978461878685477,4.37873180186045,4.355521357751407,4.300941207901915,3.475135027667375
2023-04-01,12,2.786955114237992,4.37873180186045,4.33319957688242,4.210961144141135,3.5193663062825644
2023-05-01,1,3.231733708559348,3.925400542614785,3.923729443404841,3.7168513639637184,3.098953678736956
2023-05-01,3,3.374478528151472,3.925400542614785,3.9204203178220727,3.559453769729457,3.380328785507212
2023-05-01,6,2.727551790588455,3.925400542614785,3.9155382230305076,3.5027322994743866,3.0576160198372575
2023-05-01,12,2.626866663630733,3.925400542614785,3.9060607273625614,3.4795490914122835,2.92866391046766
